dataset,model,epochs,best_epoch,best_val_accuracy,accuracy,parameters,model_size_mb,train_seconds,inference_ms_per_sample,peak_train_memory_mb,peak_inference_memory_mb
cells,AlexNet,20,19,95.4645,96.3461,5693544,21.7205,54.63,0.0539,187.31,129.14
cells,VGG16,20,20,95.4645,95.7907,15253064,58.2181,314.47,0.3666,685.77,383.56
cells,ResNet18,20,20,98.0249,97.8661,11172936,42.6581,546.78,0.6110,827.90,385.94
cells,MiniResNet,20,19,98.0980,97.6907,696360,2.6651,181.41,0.1675,322.66,125.46
chest,AlexNet,20,15,97.7055,90.3846,5682690,21.6791,19.19,0.0463,186.50,129.41
chest,VGG16,20,16,97.5143,86.5385,15248834,58.2020,119.41,0.3603,683.16,382.49
chest,ResNet18,20,19,97.7055,87.5000,11168706,42.6420,204.98,0.6013,830.33,383.12
chest,MiniResNet,20,17,97.3231,94.3910,695010,2.6599,68.89,0.1596,321.26,124.44
lesions,AlexNet,20,17,75.2809,74.0150,5692519,21.7166,37.83,0.1027,186.92,130.62
lesions,VGG16,20,15,69.9126,69.7756,15252551,58.2162,194.30,0.3767,682.26,383.24
lesions,ResNet18,20,19,77.5281,76.9077,11172423,42.6562,319.83,0.6028,827.52,383.56
lesions,MiniResNet,20,20,76.2797,76.9077,696231,2.6646,106.13,0.1615,322.65,125.46
orgs,AlexNet,20,19,99.1536,90.1168,5691915,21.7143,81.30,0.0757,186.67,130.74
orgs,VGG16,20,13,98.5677,89.6300,15253451,58.2196,361.91,0.3685,683.97,382.43
orgs,ResNet18,20,18,99.5443,92.1981,11173323,42.6596,593.78,0.6123,827.79,382.07
orgs,MiniResNet,20,18,99.2839,92.4659,696171,2.6643,202.06,0.1616,321.28,124.46
